Selinawucm,武侯祠，位于四川省成都市武侯区武侯祠大街231号，原是纪念诸葛亮的专祠，亦称孔明庙、诸葛祠、丞相祠。,2022-05-19,4
西港达人,不错！值得一看！,2022-05-19,5
听足音,武侯祠，位于成都市武侯区武侯祠大街231号，占地面积15万平方米，始建于章武元年（221年），原是纪念诸葛亮的专祠，亦称孔明庙、诸葛祠、丞相祠等，后历经明清两代的不断修缮和整合，最终变成由汉昭烈庙、武侯祠、惠陵、三义庙四部分组成的建筑群，为罕见的君臣合祀祠庙。武侯祠承载了民众对蜀汉丞相诸葛亮“鞠躬尽瘁，死而后已”精神的肯定和赞誉，也是三国历史及传说的源头，既彰显君贤臣忠之道，也颂扬刘关张兄弟之义。武侯祠边就是成都另一必打卡之地——锦里古街。可一并游玩。,2022-05-19,5
梦中的纸马,武侯祠，去过一次，不过历史遗迹比较少，和杜甫草堂类似。,2022-05-19,3
雨后梨花,武侯祠在成都市。诸葛亮封武乡侯，故名。始建于公元6世纪。是西晋末年16国中的成国李雄为纪念诸葛亮而兴建。,2022-05-18,4
M11****033,四川的旅游影响不大，季节也正好,2022-05-18,5
Selinawucm,武侯祠，位于四川省成都市武侯区武侯祠大街2，原是纪念诸葛亮的专祠，亦称孔明庙、诸葛祠、丞相祠等，,2022-05-17,4
M23****3067,设施完备，服务好,2022-05-17,5
ReginaZeng1010,导游亲切友善，讲解到位，互动蛮好的，点赞,2022-05-17,5
203****997,还不错，看点很多，值得一去哈～,2022-05-17,4
haohaoxianshenghao,【景色】【趣味】【性价比】👍,2022-05-16,5
Helios,雨中游玩，很多地方没开放,2022-05-15,4
淡然若水-922,武侯祠原是**诸葛亮的专祠，后合并君臣合祀祠庙，由汉昭烈庙、武侯祠、惠陵、三义庙四部分。,2022-05-14,4
新一代徐霞客1,富有文化气息的场所，值得一游。,2022-05-14,5
湾仔2020,门票不贵，景色好，就是虫虫有点多。,2022-05-13,5
维尼熊辰睿,武侯祠是成都的一个三国时期蜀国景点，平常也有些人去游玩,2022-05-13,4
臭屁猪猪🐷,首先武侯祠的景点还可以，但本人不是十分推介，里面可以对许多人来说只是打卡，但本身是没什么意思的一个景区，没有来过的小伙伴可以来打个卡,2022-05-13,5
潇洒1哥,一种文化的象征，传统的，现代看。,2022-05-10,5
爱我的大都督,紧挨着锦里，供奉着诸葛武侯，园区不算大，在里面可以喝茶，摆上一会龙门阵。,2022-05-09,4
虚冥游,很有特色，很多名人像,2022-05-09,5
M25****6744,风景名胜，历史见证，值得一去。,2022-05-09,5
小眼镜张,三国时期蜀汉历史文化园区，也是诸葛亮庙。,2022-05-07,5
猴嘴街大小姐,门票50，找了个美女导游50。完美。,2022-05-07,5
🎗Jason的球鞋屋🎵,成都必打卡地，很不错，值得体验。,2022-05-07,5
小猪罗比,·纪念的是蜀国丞相诸葛亮，明朝初年并入汉昭烈庙，也是全国影响最大的三国遗迹博物馆。·由惠陵、汉昭烈庙、武侯祠三部分组成。祠内供奉刘备、诸葛亮等蜀汉英雄塑像50尊。·武大门、二门、刘备殿、过厅、诸葛亮殿、三义庙等，排列在从南到北的一条中轴线上。,2022-05-06,5
_CFT01****9246340,成都打卡地之一，可以去走走逛逛看看,2022-05-06,4
j****f3,值得一去，成都地标,2022-05-06,5
S.JlN-12,我觉得成都本地人买门票就应该便宜些,2022-05-04,5
M65****98,旁边就是宽窄巷子和公园，出门就像翻过历史换了世界，珍惜当下最好,2022-05-04,4
M44****498,**玩意儿，携程买票必须要带身份证。没带证件又要去游客中心兑换，所有的携程机子都不开，不让兑换携程的门票，必须在他武侯祠官网买。不服来辩,2022-05-03,1
288****881,一个凉爽的天气游览武侯祠，惬意,2022-05-02,5
北海的云朵,热闹非凡，有名的景点，值得一游,2022-05-02,4
M28****1244,其实过去1800多年了，三国志也好，演义也好，历朝历代看重的只是鞠躬尽瘁死而后已，看重的关帝的仁义诚信。我们只能说不忘初心，继续前进。把我们小人物的这粒微尘，尽量无愧自己，无愧于心就可以了。,2022-05-01,5
Williamsun,【景色】景色非常好，园林非常棒，与建筑完美契合【趣味】涨知识，体验中式园林，古人的气概【性价比】非常好,2022-05-01,5
云淡风轻扬1984,三国故事深入人心，来成都一定要拜访下武侯祠。,2022-04-29,5
Victor0620,非常好，值得推荐！,2022-04-28,5
M47****6237,买的门票+跟团讲解。结果那一场次只有我一个人，直接变成一对一讲解，小姐姐讲的很细致，耐心回答问题。这种人文景观还是要听讲解才行，自己肯定走马观花就过去了。,2022-04-27,5
